Comparison,Difference,P_value,P_value_numeric
0-1 years - 1-2 years,-0.0220224300237848,0.745,0.745
0-1 years - 2-3 years,-7.78683816787334e-4,0.985,0.985
0-1 years - 3-4 years,-0.0522717772668373,0.562,0.562
0-1 years - oil palm,-0.193541739419333,0.02,0.02
1-2 years - 2-3 years,0.0212437462069975,0.646,0.646
1-2 years - 3-4 years,-0.0302493472430524,0.704,0.704
1-2 years - oil palm,-0.171519309395548,0.059,0.059
2-3 years - 3-4 years,-0.05149309345005,0.553,0.553
2-3 years - oil palm,-0.192763055602546,0.026,0.026
3-4 years - oil palm,-0.141269962152496,0.139,0.139
