fungal_counts,fungal_sample,bact_counts,bact_sample,,fungal_sample,fungal_counts
163475,1_1,76507,1_1,,1_1,1554245
25181,1_10,68031,1_10,,1_11,940041
22936,1_11,93602,1_11,,1_12,198075
20111,1_12,99643,1_12,,1_13,62473
2326,1_13,80349,1_13,,1_14,486338
18736,1_14,69792,1_14,,1_15,663564
21279,1_15,92402,1_15,,1_16,1157063
78703,1_16,77966,1_16,,1_2,889904
1080,1_2,73700,1_2,,1_3,444454
9607,1_3,105551,1_3,,1_4,218530
29871,1_4,74269,1_4,,1_5,517695
7007,1_5,62631,1_5,,1_6,998674
6021,1_6,57066,1_6,,1_7,310341
4172,1_7,71767,1_7,,1_8,611506
15184,1_8,70856,1_8,,1_9,380730
72777,1_9,87417,1_9,,2_1,312303
10881,2_1,71216,2_1,,2_10,1141486
8910,2_10,43235,2_10,,2_11,769451
2770,2_11,61564,2_11,,2_12,37557
10233,2_12,61066,2_12,,2_13,3090971
14539,2_13,57734,2_13,,2_14,2427865
16758,2_14,70263,2_14,,2_15,65944
1658,2_15,53936,2_15,,2_16,51666
4141,2_16,80185,2_16,,2_2,286548
353209,2_2,98609,2_2,,2_3,563106
69189,2_3,99660,2_3,,2_4,880616
1587,2_4,93116,2_4,,2_5,112266
3852,2_5,76139,2_5,,2_6,250299
346153,2_6,87028,2_6,,2_7,401088
5220,2_7,67310,2_7,,2_8,554050
12021,2_8,89710,2_8,,2_9,2382397
93177,2_9,51487,2_9,,3_1,5056675
46901,3_1,82591,3_1,,3_10,199736
1963,3_10,27128,3_10,,3_11,263926
80846,3_11,90612,3_11,,3_12,169780
4504,3_12,108321,3_12,,3_13,112890
27251,3_13,124101,3_13,,3_14,925960
11530,3_14,102804,3_14,,3_15,251724
22699,3_15,123300,3_15,,3_16,198936
14984,3_16,109887,3_16,,3_2,2141199
28736,3_2,62158,3_2,,3_3,2031945
71393,3_3,78227,3_3,,3_4,905363
29946,3_4,91015,3_4,,3_5,2399123
16124,3_5,105151,3_5,,3_6,647993
86767,3_6,80353,3_6,,3_7,319113
24792,3_7,34550,3_7,,3_8,480718
30396,3_8,79680,3_8,,3_9,117849
4424,3_9,114472,3_9,,4_1,21603
922,4_1,64760,4_1,,4_10,535521
11511,4_10,71249,4_10,,4_11,329321
7544,4_11,68044,4_11,,4_12,243484
3250,4_12,42607,4_12,,4_13,2243998
369,4_13,12170,4_13,,4_14,815175
3495,4_14,14800,4_14,,4_15,531434
3730,4_15,13467,4_15,,4_16,198150
8103,4_16,58777,4_16,,4_2,679187
8799,4_2,76949,4_2,,4_3,747557
8521,4_3,33856,4_3,,4_4,660600
12273,4_4,82601,4_4,,4_5,384158
5083,4_5,48675,4_5,,4_6,685069
3400,4_6,86180,4_6,,4_7,708554
20049,4_7,94375,4_7,,4_8,417640
8631,4_8,80354,4_8,,4_9,416274
135699,4_9,84919,4_9,,5_1,52254
1910,5_1,51089,5_1,,5_10,255447
16638,5_10,36751,5_10,,5_11,181394
360,5_11,20529,5_11,,5_12,473765
5701,5_12,34138,5_12,,5_13,544241
34434,5_13,41467,5_13,,5_14,407006
64462,5_14,41639,5_14,,5_15,327002
18386,5_15,75777,5_15,,5_16,373003
41499,5_16,49893,5_16,,5_2,441135
3214,5_2,65389,5_2,,5_3,129302
4467,5_3,60467,5_3,,5_4,386056
1063,5_4,38993,5_4,,5_5,121033
13931,5_5,62082,5_5,,5_6,1154898
7065,5_6,30214,5_6,,5_7,954896
27267,5_7,59577,5_7,,5_8,462900
3272,5_8,81302,5_8,,5_9,1048599
7430,5_9,40820,5_9,,Blank_1,5
,,,,,Blank_2,443
,,,,,Blank_3,106
,,,,,Blank_4,1365
,,,,,Zy-Mock_1,840635
,,,,,Zy-Mock_2,2852179
,,,,,Zy-Mock_3,2567083
,,,,,Zy-Mock_4,3266957
